                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           23 May 2023 02:03:17
Civil Air Patrol Use Only
AreaTarget-Russia-To-Satellite-KinoSat_110101, Satellite-KinoSat_110102, Satellite-KinoSat_110103, Satellite-KinoSat_110104, Satellite-KinoSat_110105, Satellite-KinoSat_110106, Satellite-KinoSat_110107, Satellite-KinoSat_110108, Satellite-KinoSat_110109, Satellite-KinoSat_110110, Satellite-KinoSat_110201, Satellite-KinoSat_110202, Satellite-KinoSat_110203, Satellite-KinoSat_110204, Satellite-KinoSat_110205, Satellite-KinoSat_110206, Satellite-KinoSat_110207, Satellite-KinoSat_110208, Satellite-KinoSat_110209, Satellite-KinoSat_110210, Satellite-KinoSat_110301, Satellite-KinoSat_110302, Satellite-KinoSat_110303, Satellite-KinoSat_110304, Satellite-KinoSat_110305, Satellite-KinoSat_110306, Satellite-KinoSat_110307, Satellite-KinoSat_110308, Satellite-KinoSat_110309, Satellite-KinoSat_110310, Satellite-KinoSat_110401, Satellite-KinoSat_110402, Satellite-KinoSat_110403, Satellite-KinoSat_110404, Satellite-KinoSat_110405, Satellite-KinoSat_110406, Satellite-KinoSat_110407, Satellite-KinoSat_110408, Satellite-KinoSat_110409, Satellite-KinoSat_110410, Satellite-KinoSat_110501, Satellite-KinoSat_110502, Satellite-KinoSat_110503, Satellite-KinoSat_110504, Satellite-KinoSat_110505, Satellite-KinoSat_110506, Satellite-KinoSat_110507, Satellite-KinoSat_110508, Satellite-KinoSat_110509, Satellite-KinoSat_110510:  Access Summary Report


Russia-To-KinoSat_110101
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      32     7 Jun 2027 05:33:50.496     7 Jun 2027 05:38:20.457           269.960
                      33     7 Jun 2027 05:38:25.946     7 Jun 2027 05:39:42.181            76.235
                      34     7 Jun 2027 07:10:44.539     7 Jun 2027 07:15:20.901           276.362
                      35     7 Jun 2027 08:47:54.361     7 Jun 2027 08:50:22.728           148.367
                      36     8 Jun 2027 04:09:00.792     8 Jun 2027 04:15:45.307           404.515
                      37     8 Jun 2027 05:46:20.919     8 Jun 2027 05:50:26.156           245.236
                      38     8 Jun 2027 05:50:28.447     8 Jun 2027 05:51:07.350            38.903
                      39     8 Jun 2027 07:22:45.983     8 Jun 2027 07:27:52.078           306.095
                      40     8 Jun 2027 09:01:02.430     8 Jun 2027 09:01:43.992            41.562
                      41     9 Jun 2027 04:21:34.549     9 Jun 2027 04:27:51.303           376.754
                      42     9 Jun 2027 05:58:57.644     9 Jun 2027 06:03:30.133           272.489
                      43     9 Jun 2027 07:35:08.392     9 Jun 2027 07:39:23.016           254.624
                      44    10 Jun 2027 03:00:00.000    10 Jun 2027 03:03:59.171           239.171
                      45    10 Jun 2027 04:33:13.194    10 Jun 2027 04:39:32.799           379.605
                      46    10 Jun 2027 06:11:12.121    10 Jun 2027 06:15:36.594           264.473
                      47    10 Jun 2027 07:47:03.660    10 Jun 2027 07:51:16.999           253.340
                      48    10 Jun 2027 07:51:22.873    10 Jun 2027 07:52:14.499            51.626
                      49    11 Jun 2027 03:08:33.005    11 Jun 2027 03:16:06.108           453.102
                      50    11 Jun 2027 04:45:22.728    11 Jun 2027 04:51:42.092           379.364
                      51    11 Jun 2027 06:23:34.677    11 Jun 2027 06:27:31.018           236.341
                      52    11 Jun 2027 07:56:52.452    11 Jun 2027 07:58:24.728            92.277
                      53    11 Jun 2027 07:58:26.012    11 Jun 2027 08:03:14.644           288.632
                      54    11 Jun 2027 08:03:31.966    11 Jun 2027 08:04:37.195            65.229
                      55    12 Jun 2027 03:20:40.997    12 Jun 2027 03:28:05.367           444.370
                      56    12 Jun 2027 04:57:39.045    12 Jun 2027 05:03:32.661           353.616
                      57    12 Jun 2027 06:35:34.787    12 Jun 2027 06:39:33.621           238.834
                      58    12 Jun 2027 08:08:54.618    12 Jun 2027 08:15:10.577           375.959
                      59    12 Jun 2027 08:15:10.894    12 Jun 2027 08:16:40.235            89.341
                      60    13 Jun 2027 03:32:42.877    13 Jun 2027 03:40:09.006           446.129
                      61    13 Jun 2027 05:09:28.820    13 Jun 2027 05:15:26.322           357.503
                      62    13 Jun 2027 05:15:40.348    13 Jun 2027 05:16:10.370            30.022
                      63    13 Jun 2027 06:47:33.867    13 Jun 2027 06:51:42.632           248.765
                      64    13 Jun 2027 08:21:21.386    13 Jun 2027 08:28:08.520           407.134

Min Duration          22     5 Jun 2027 05:15:30.510     5 Jun 2027 05:15:55.426            24.916
Max Duration          49    11 Jun 2027 03:08:33.005    11 Jun 2027 03:16:06.108           453.102
Mean Duration                                                                              262.137
Total Duration                                                                           16776.775


Russia-To-KinoSat_110204
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:11:13.327     1 Jun 2027 04:17:56.722           403.395
                       2     1 Jun 2027 05:48:52.731     1 Jun 2027 05:53:21.633           268.902
                       3     1 Jun 2027 07:24:57.207     1 Jun 2027 07:29:45.264           288.057
                       4     1 Jun 2027 09:03:41.016     1 Jun 2027 09:03:43.749             2.733
                       5     2 Jun 2027 04:23:49.390     2 Jun 2027 04:30:03.052           373.662
                       6     2 Jun 2027 06:01:06.906     2 Jun 2027 06:05:42.860           275.954
                       7     2 Jun 2027 07:37:19.433     2 Jun 2027 07:41:59.512           280.079
                       8     3 Jun 2027 03:00:00.000     3 Jun 2027 03:06:11.605           371.605
                       9     3 Jun 2027 04:35:22.049     3 Jun 2027 04:41:48.897           386.848
                      10     3 Jun 2027 06:13:23.204     3 Jun 2027 06:17:34.124           250.919
                      11     3 Jun 2027 07:49:03.057     3 Jun 2027 07:53:26.859           263.802
                      12     3 Jun 2027 07:53:33.295     3 Jun 2027 07:54:29.870            56.574
                      13     4 Jun 2027 03:10:43.244     4 Jun 2027 03:18:16.862           453.618
                      14     4 Jun 2027 04:47:43.517     4 Jun 2027 04:53:51.225           367.708
                      15     4 Jun 2027 06:25:44.770     4 Jun 2027 06:29:41.046           236.276
                      16     4 Jun 2027 07:58:58.846     4 Jun 2027 08:05:28.519           389.672
                      17     4 Jun 2027 08:05:44.850     4 Jun 2027 08:06:50.948            66.098
                      18     5 Jun 2027 03:22:51.593     5 Jun 2027 03:30:17.587           445.994
                      19     5 Jun 2027 04:59:48.963     5 Jun 2027 05:05:57.545           368.582
                      20     5 Jun 2027 06:37:41.949     5 Jun 2027 06:41:53.552           251.603
                      21     5 Jun 2027 08:11:10.117     5 Jun 2027 08:18:48.494           458.377
                      22     6 Jun 2027 03:34:53.061     6 Jun 2027 03:42:19.422           446.360
                      23     6 Jun 2027 05:11:41.199     6 Jun 2027 05:17:35.024           353.825
                      24     6 Jun 2027 05:17:43.424     6 Jun 2027 05:18:23.832            40.408
                      25     6 Jun 2027 06:49:43.574     6 Jun 2027 06:53:52.748           249.174
                      26     6 Jun 2027 08:23:35.514     6 Jun 2027 08:30:16.822           401.309
                      27     7 Jun 2027 03:46:56.340     7 Jun 2027 03:54:17.093           440.753
                      28     7 Jun 2027 05:23:51.211     7 Jun 2027 05:28:54.205           302.994
                      29     7 Jun 2027 05:29:05.530     7 Jun 2027 05:30:12.120            66.589
                      30     7 Jun 2027 07:00:57.163     7 Jun 2027 07:05:50.781           293.619
                      31     7 Jun 2027 08:35:57.520     7 Jun 2027 08:36:42.526            45.007
                      32     7 Jun 2027 08:37:38.686     7 Jun 2027 08:40:58.848           200.162
                      33     8 Jun 2027 03:59:22.061     8 Jun 2027 04:06:07.312           405.252
                      34     8 Jun 2027 05:36:18.539     8 Jun 2027 05:40:43.750           265.211
                      35     8 Jun 2027 05:40:50.033     8 Jun 2027 05:42:05.600            75.566
                      36     8 Jun 2027 07:13:09.267     8 Jun 2027 07:17:41.286           272.019
                      37     8 Jun 2027 08:50:45.617     8 Jun 2027 08:52:28.721           103.104
                      38     9 Jun 2027 04:11:28.371     9 Jun 2027 04:18:11.692           403.321
                      39     9 Jun 2027 05:49:08.916     9 Jun 2027 05:53:37.008           268.092
                      40     9 Jun 2027 07:25:11.769     9 Jun 2027 07:29:59.794           288.024
                      41    10 Jun 2027 04:24:04.431    10 Jun 2027 04:30:17.898           373.466
                      42    10 Jun 2027 06:01:21.012    10 Jun 2027 06:05:57.808           276.796
                      43    10 Jun 2027 07:37:34.472    10 Jun 2027 07:42:14.874           280.402
                      44    11 Jun 2027 03:00:00.000    11 Jun 2027 03:06:26.482           386.482
                      45    11 Jun 2027 04:35:36.734    11 Jun 2027 04:42:03.970           387.235
                      46    11 Jun 2027 06:13:48.177    11 Jun 2027 06:17:48.679           240.502
                      47    11 Jun 2027 07:49:17.587    11 Jun 2027 07:53:41.518           263.931
                      48    11 Jun 2027 07:53:48.181    11 Jun 2027 07:54:44.956            56.775
                      49    12 Jun 2027 03:10:57.810    12 Jun 2027 03:18:31.640           453.830
                      50    12 Jun 2027 04:47:58.500    12 Jun 2027 04:54:05.902           367.402
                      51    12 Jun 2027 06:25:59.235    12 Jun 2027 06:29:55.904           236.670
                      52    12 Jun 2027 07:59:13.118    12 Jun 2027 08:05:43.384           390.266
                      53    12 Jun 2027 08:05:59.910    12 Jun 2027 08:07:05.758            65.848
                      54    13 Jun 2027 03:23:06.553    13 Jun 2027 03:30:32.434           445.882
                      55    13 Jun 2027 05:00:03.939    13 Jun 2027 05:06:12.387           368.449
                      56    13 Jun 2027 06:37:56.822    13 Jun 2027 06:41:58.346           241.524
                      57    13 Jun 2027 08:11:25.588    13 Jun 2027 08:19:03.304           457.717

Min Duration           4     1 Jun 2027 09:03:41.016     1 Jun 2027 09:03:43.749             2.733
Max Duration          21     5 Jun 2027 08:11:10.117     5 Jun 2027 08:18:48.494           458.377
Mean Duration                                                                              289.025
Total Duration                                                                           16474.423


Russia-To-KinoSat_110205
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:01:36.465     1 Jun 2027 04:08:18.461           401.995
                       2     1 Jun 2027 05:38:33.527     1 Jun 2027 05:42:54.625           261.098
                       3     1 Jun 2027 05:42:57.015     1 Jun 2027 05:44:05.003            67.988
                       4     1 Jun 2027 07:15:23.935     1 Jun 2027 07:19:52.136           268.201
                       5     1 Jun 2027 08:53:03.932     1 Jun 2027 08:54:40.589            96.658
                       6     2 Jun 2027 04:13:43.893     2 Jun 2027 04:20:24.045           400.153
                       7     2 Jun 2027 05:51:27.585     2 Jun 2027 05:55:51.942           264.358
                       8     2 Jun 2027 07:27:33.849     2 Jun 2027 07:31:55.012           261.163
                       9     3 Jun 2027 04:26:18.325     3 Jun 2027 04:32:26.403           368.079
                      10     3 Jun 2027 06:03:33.891     3 Jun 2027 06:08:10.480           276.589
                      11     3 Jun 2027 07:39:48.172     3 Jun 2027 07:44:29.922           281.751
                      12     4 Jun 2027 03:01:32.423     4 Jun 2027 03:08:38.773           426.349
                      13     4 Jun 2027 04:37:51.664     4 Jun 2027 04:44:16.218           384.554
                      14     4 Jun 2027 06:16:06.777     4 Jun 2027 06:19:59.833           233.055
                      15     4 Jun 2027 07:51:27.129     4 Jun 2027 07:55:38.475           251.346
                      16     4 Jun 2027 07:55:59.433     4 Jun 2027 07:56:58.068            58.636
                      17     5 Jun 2027 03:13:05.812     5 Jun 2027 03:20:40.531           454.719
                      18     5 Jun 2027 04:50:11.114     5 Jun 2027 04:56:33.396           382.283
                      19     5 Jun 2027 06:28:09.892     5 Jun 2027 06:32:04.824           234.932
                      20     5 Jun 2027 08:01:18.501     5 Jun 2027 08:07:32.941           374.441
                      21     5 Jun 2027 08:07:38.344     5 Jun 2027 08:09:14.582            96.238
                      22     6 Jun 2027 03:25:24.317     6 Jun 2027 03:32:43.683           439.366
                      23     6 Jun 2027 05:02:12.488     6 Jun 2027 05:08:40.624           388.136
                      24     6 Jun 2027 06:40:09.621     6 Jun 2027 06:44:08.443           238.822
                      25     6 Jun 2027 08:13:45.704     6 Jun 2027 08:21:13.673           447.969
                      26     7 Jun 2027 03:37:18.840     7 Jun 2027 03:44:44.435           445.595
                      27     7 Jun 2027 05:14:03.240     7 Jun 2027 05:19:58.462           355.222
                      28     7 Jun 2027 05:20:03.533     7 Jun 2027 05:20:48.900            45.367
                      29     7 Jun 2027 06:52:11.681     7 Jun 2027 06:56:17.936           246.255
                      30     7 Jun 2027 08:26:02.199     7 Jun 2027 08:32:19.475           377.276
                      31     8 Jun 2027 03:49:25.280     8 Jun 2027 03:56:44.731           439.451
                      32     8 Jun 2027 05:26:28.226     8 Jun 2027 05:31:17.471           289.245
                      33     8 Jun 2027 05:31:24.498     8 Jun 2027 05:32:35.045            70.547
                      34     8 Jun 2027 07:03:26.100     8 Jun 2027 07:08:17.646           291.545
                      35     8 Jun 2027 08:38:29.044     8 Jun 2027 08:38:54.667            25.623
                      36     8 Jun 2027 08:40:09.042     8 Jun 2027 08:43:21.235           192.193
                      37     9 Jun 2027 04:01:51.515     9 Jun 2027 04:08:33.270           401.755
                      38     9 Jun 2027 05:38:48.357     9 Jun 2027 05:43:09.715           261.358
                      39     9 Jun 2027 05:43:11.938     9 Jun 2027 05:44:19.564            67.625
                      40     9 Jun 2027 07:15:38.849     9 Jun 2027 07:20:06.972           268.123
                      41     9 Jun 2027 08:53:19.397     9 Jun 2027 08:55:08.556           109.159
                      42    10 Jun 2027 04:13:58.937    10 Jun 2027 04:20:38.999           400.062
                      43    10 Jun 2027 05:51:43.090    10 Jun 2027 05:56:07.101           264.011
                      44    10 Jun 2027 07:27:48.921    10 Jun 2027 07:32:09.374           260.454
                      45    11 Jun 2027 04:26:32.536    11 Jun 2027 04:32:41.208           368.672
                      46    11 Jun 2027 06:03:48.965    11 Jun 2027 06:08:25.451           276.486
                      47    11 Jun 2027 07:40:02.659    11 Jun 2027 07:44:45.227           282.569
                      48    12 Jun 2027 03:01:47.120    12 Jun 2027 03:08:53.717           426.597
                      49    12 Jun 2027 04:38:06.368    12 Jun 2027 04:44:31.171           384.803
                      50    12 Jun 2027 06:16:21.721    12 Jun 2027 06:20:14.853           233.132
                      51    12 Jun 2027 07:51:42.286    12 Jun 2027 07:55:53.398           251.111
                      52    12 Jun 2027 07:56:14.298    12 Jun 2027 07:57:12.932            58.634
                      53    13 Jun 2027 03:13:20.434    13 Jun 2027 03:20:55.005           454.572
                      54    13 Jun 2027 04:50:26.126    13 Jun 2027 04:56:48.358           382.232
                      55    13 Jun 2027 06:28:24.438    13 Jun 2027 06:32:19.713           235.276
                      56    13 Jun 2027 08:01:33.226    13 Jun 2027 08:07:47.557           374.331
                      57    13 Jun 2027 08:07:53.610    13 Jun 2027 08:09:29.005            95.395

Min Duration          35     8 Jun 2027 08:38:29.044     8 Jun 2027 08:38:54.667            25.623
Max Duration          17     5 Jun 2027 03:13:05.812     5 Jun 2027 03:20:40.531           454.719
Mean Duration                                                                              280.589
Total Duration                                                                           15993.552


Russia-To-KinoSat_110206
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 03:51:37.468     1 Jun 2027 03:58:55.295           437.827
                       2     1 Jun 2027 05:28:52.045     1 Jun 2027 05:33:23.565           271.521
                       3     1 Jun 2027 05:33:33.335     1 Jun 2027 05:34:44.389            71.054
                       4     1 Jun 2027 07:05:33.894     1 Jun 2027 07:10:25.708           291.814
                       5     1 Jun 2027 08:40:45.760     1 Jun 2027 08:40:59.749            13.989
                       6     1 Jun 2027 08:42:20.653     1 Jun 2027 08:45:28.969           188.316
                       7     2 Jun 2027 04:04:02.808     2 Jun 2027 04:10:44.890           402.083
                       8     2 Jun 2027 05:41:02.042     2 Jun 2027 05:46:26.315           324.274
                       9     2 Jun 2027 07:17:48.670     2 Jun 2027 07:22:19.178           270.509
                      10     2 Jun 2027 08:55:59.032     2 Jun 2027 08:57:02.171            63.139
                      11     3 Jun 2027 04:16:28.777     3 Jun 2027 04:22:50.942           382.165
                      12     3 Jun 2027 05:54:02.977     3 Jun 2027 05:58:24.345           261.368
                      13     3 Jun 2027 07:30:06.026     3 Jun 2027 07:34:16.341           250.316
                      14     4 Jun 2027 04:28:41.026     4 Jun 2027 04:34:24.027           343.002
                      15     4 Jun 2027 04:34:26.412     4 Jun 2027 04:34:44.353            17.941
                      16     4 Jun 2027 06:05:57.719     4 Jun 2027 06:10:39.053           281.334
                      17     4 Jun 2027 07:42:10.256     4 Jun 2027 07:47:01.763           291.507
                      18     5 Jun 2027 03:03:50.296     5 Jun 2027 03:11:04.961           434.666
                      19     5 Jun 2027 04:40:19.854     5 Jun 2027 04:46:43.606           383.752
                      20     5 Jun 2027 06:18:37.518     5 Jun 2027 06:22:31.849           234.331
                      21     5 Jun 2027 07:54:04.043     5 Jun 2027 07:58:05.748           241.705
                      22     5 Jun 2027 07:58:26.572     5 Jun 2027 07:59:25.821            59.250
                      23     6 Jun 2027 03:15:33.348     6 Jun 2027 03:23:05.813           452.466
                      24     6 Jun 2027 04:52:39.858     6 Jun 2027 04:58:58.944           379.087
                      25     6 Jun 2027 06:30:35.198     6 Jun 2027 06:34:33.272           238.074
                      26     6 Jun 2027 08:03:40.354     6 Jun 2027 08:10:00.986           380.632
                      27     6 Jun 2027 08:10:42.756     6 Jun 2027 08:11:42.223            59.467
                      28     7 Jun 2027 03:27:51.309     7 Jun 2027 03:35:09.755           438.447
                      29     7 Jun 2027 05:04:35.901     7 Jun 2027 05:11:08.862           392.960
                      30     7 Jun 2027 06:42:34.453     7 Jun 2027 06:46:45.399           250.946
                      31     7 Jun 2027 08:16:12.192     7 Jun 2027 08:23:36.682           444.490
                      32     8 Jun 2027 03:39:44.683     8 Jun 2027 03:47:09.835           445.153
                      33     8 Jun 2027 05:16:28.725     8 Jun 2027 05:23:12.518           403.793
                      34     8 Jun 2027 06:54:22.181     8 Jun 2027 06:58:44.615           262.435
                      35     8 Jun 2027 08:30:19.828     8 Jun 2027 08:34:41.456           261.627
                      36     9 Jun 2027 03:51:52.694     9 Jun 2027 03:59:09.906           437.212
                      37     9 Jun 2027 05:29:07.254     9 Jun 2027 05:33:38.307           271.052
                      38     9 Jun 2027 05:33:48.215     9 Jun 2027 05:34:59.162            70.947
                      39     9 Jun 2027 07:05:48.496     9 Jun 2027 07:10:40.691           292.194
                      40     9 Jun 2027 08:41:00.823     9 Jun 2027 08:41:14.729            13.906
                      41     9 Jun 2027 08:42:36.634     9 Jun 2027 08:45:43.578           186.945
                      42    10 Jun 2027 04:04:17.816    10 Jun 2027 04:10:59.864           402.048
                      43    10 Jun 2027 05:41:16.315    10 Jun 2027 05:46:27.547           311.232
                      44    10 Jun 2027 07:18:03.310    10 Jun 2027 07:22:34.020           270.710
                      45    10 Jun 2027 08:56:13.823    10 Jun 2027 08:57:16.565            62.742
                      46    11 Jun 2027 04:16:43.724    11 Jun 2027 04:23:05.885           382.161
                      47    11 Jun 2027 05:54:17.742    11 Jun 2027 05:58:39.588           261.847
                      48    11 Jun 2027 07:30:21.049    11 Jun 2027 07:34:31.703           250.654
                      49    12 Jun 2027 04:28:55.282    12 Jun 2027 04:34:38.893           343.611
                      50    12 Jun 2027 04:34:41.879    12 Jun 2027 04:34:58.695            16.815
                      51    12 Jun 2027 06:06:21.345    12 Jun 2027 06:10:54.047           272.703
                      52    12 Jun 2027 07:42:25.115    12 Jun 2027 07:46:35.631           250.516
                      53    12 Jun 2027 07:46:40.736    12 Jun 2027 07:47:16.682            35.946
                      54    13 Jun 2027 03:04:04.619    13 Jun 2027 03:11:19.923           435.304
                      55    13 Jun 2027 04:40:34.838    13 Jun 2027 04:46:58.502           383.664
                      56    13 Jun 2027 06:18:52.520    13 Jun 2027 06:22:36.126           223.606
                      57    13 Jun 2027 07:54:18.337    13 Jun 2027 07:58:21.024           242.688
                      58    13 Jun 2027 07:58:41.584    13 Jun 2027 07:59:40.886            59.302

Min Duration          40     9 Jun 2027 08:41:00.823     9 Jun 2027 08:41:14.729            13.906
Max Duration          23     6 Jun 2027 03:15:33.348     6 Jun 2027 03:23:05.813           452.466
Mean Duration                                                                              265.573
Total Duration                                                                           15403.238


Russia-To-KinoSat_110207
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 03:41:54.257     1 Jun 2027 03:49:22.553           448.296
                       2     1 Jun 2027 05:18:48.694     1 Jun 2027 05:24:10.694           322.000
                       3     1 Jun 2027 05:24:29.741     1 Jun 2027 05:25:20.399            50.657
                       4     1 Jun 2027 06:56:32.293     1 Jun 2027 07:00:54.054           261.761
                       5     1 Jun 2027 08:30:46.644     1 Jun 2027 08:31:46.902            60.258
                       6     1 Jun 2027 08:32:31.830     1 Jun 2027 08:36:06.908           215.078
                       7     2 Jun 2027 03:54:15.168     2 Jun 2027 04:01:16.031           420.862
                       8     2 Jun 2027 05:31:18.918     2 Jun 2027 05:35:48.201           269.284
                       9     2 Jun 2027 05:35:55.708     2 Jun 2027 05:37:09.227            73.519
                      10     2 Jun 2027 07:08:03.762     2 Jun 2027 07:12:52.129           288.367
                      11     2 Jun 2027 08:43:20.038     2 Jun 2027 08:43:28.205             8.167
                      12     2 Jun 2027 08:45:01.130     2 Jun 2027 08:47:51.775           170.645
                      13     3 Jun 2027 04:06:28.682     3 Jun 2027 04:13:11.223           402.542
                      14     3 Jun 2027 05:43:24.488     3 Jun 2027 05:48:24.916           300.428
                      15     3 Jun 2027 07:20:10.991     3 Jun 2027 07:24:53.351           282.360
                      16     3 Jun 2027 08:58:23.388     3 Jun 2027 08:59:20.876            57.488
                      17     4 Jun 2027 04:18:57.813     4 Jun 2027 04:25:17.723           379.910
                      18     4 Jun 2027 05:56:27.748     4 Jun 2027 06:00:54.014           266.266
                      19     4 Jun 2027 07:32:32.500     4 Jun 2027 07:36:46.931           254.432
                      20     5 Jun 2027 03:00:00.000     5 Jun 2027 03:01:21.788            81.788
                      21     5 Jun 2027 04:30:59.385     5 Jun 2027 04:36:50.309           350.923
                      22     5 Jun 2027 04:36:59.057     5 Jun 2027 04:37:07.140             8.083
                      23     5 Jun 2027 06:08:33.381     5 Jun 2027 06:13:04.626           271.245
                      24     5 Jun 2027 07:44:34.686     5 Jun 2027 07:48:46.410           251.724
                      25     5 Jun 2027 07:48:50.469     5 Jun 2027 07:49:34.973            44.504
                      26     6 Jun 2027 03:06:09.593     6 Jun 2027 03:13:32.177           442.584
                      27     6 Jun 2027 04:42:45.557     6 Jun 2027 04:49:09.446           383.889
                      28     6 Jun 2027 06:21:03.326     6 Jun 2027 06:24:58.125           234.799
                      29     6 Jun 2027 07:54:23.631     6 Jun 2027 07:54:34.529            10.897
                      30     6 Jun 2027 07:56:23.119     6 Jun 2027 08:00:35.834           252.715
                      31     6 Jun 2027 08:00:55.236     6 Jun 2027 08:01:53.304            58.068
                      32     7 Jun 2027 03:18:02.922     7 Jun 2027 03:25:32.556           449.634
                      33     7 Jun 2027 04:55:06.689     7 Jun 2027 05:00:57.422           350.733
                      34     7 Jun 2027 05:01:00.371     7 Jun 2027 05:01:17.393            17.022
                      35     7 Jun 2027 06:33:00.969     7 Jun 2027 06:37:00.634           239.665
                      36     7 Jun 2027 08:06:13.594     7 Jun 2027 08:12:35.068           381.474
                      37     7 Jun 2027 08:12:53.492     7 Jun 2027 08:14:06.401            72.909
                      38     8 Jun 2027 03:30:15.006     8 Jun 2027 03:37:36.054           441.048
                      39     8 Jun 2027 05:06:57.766     8 Jun 2027 05:13:10.953           373.187
                      40     8 Jun 2027 05:13:15.134     8 Jun 2027 05:13:35.684            20.551
                      41     8 Jun 2027 06:45:00.787     8 Jun 2027 06:49:10.315           249.528
                      42     8 Jun 2027 08:18:41.546     8 Jun 2027 08:26:01.533           439.987
                      43     9 Jun 2027 03:42:09.010     9 Jun 2027 03:49:37.455           448.445
                      44     9 Jun 2027 05:19:03.847     9 Jun 2027 05:24:24.236           320.388
                      45     9 Jun 2027 05:24:44.424     9 Jun 2027 05:25:34.962            50.539
                      46     9 Jun 2027 06:56:46.928     9 Jun 2027 07:01:08.813           261.886
                      47     9 Jun 2027 08:31:01.880     9 Jun 2027 08:32:15.476            73.596
                      48     9 Jun 2027 08:32:46.539     9 Jun 2027 08:36:21.297           214.759
                      49    10 Jun 2027 03:54:30.135    10 Jun 2027 04:01:33.963           423.828
                      50    10 Jun 2027 05:31:33.710    10 Jun 2027 05:36:02.974           269.264
                      51    10 Jun 2027 05:36:10.404    10 Jun 2027 05:37:23.996            73.592
                      52    10 Jun 2027 07:08:18.795    10 Jun 2027 07:13:06.929           288.135
                      53    10 Jun 2027 08:43:35.137    10 Jun 2027 08:43:42.782             7.645
                      54    10 Jun 2027 08:45:16.551    10 Jun 2027 08:48:06.287           169.736
                      55    11 Jun 2027 04:06:43.324    11 Jun 2027 04:13:26.043           402.719
                      56    11 Jun 2027 05:43:39.435    11 Jun 2027 05:48:40.135           300.701
                      57    11 Jun 2027 07:20:25.768    11 Jun 2027 07:25:08.654           282.886
                      58    11 Jun 2027 08:58:38.530    11 Jun 2027 08:59:35.486            56.956
                      59    12 Jun 2027 04:19:13.082    12 Jun 2027 04:25:32.608           379.526
                      60    12 Jun 2027 05:56:41.727    12 Jun 2027 06:01:09.150           267.422
                      61    12 Jun 2027 07:32:47.668    12 Jun 2027 07:37:01.859           254.191
                      62    13 Jun 2027 03:00:00.000    13 Jun 2027 03:01:36.597            96.597
                      63    13 Jun 2027 04:31:13.431    13 Jun 2027 04:36:51.526           338.096
                      64    13 Jun 2027 04:36:55.796    13 Jun 2027 04:37:05.270             9.474
                      65    13 Jun 2027 04:37:14.216    13 Jun 2027 04:37:21.544             7.328
                      66    13 Jun 2027 06:08:48.105    13 Jun 2027 06:13:19.260           271.155
                      67    13 Jun 2027 07:44:49.633    13 Jun 2027 07:49:01.094           251.461
                      68    13 Jun 2027 07:49:05.064    13 Jun 2027 07:49:50.371            45.307

Min Duration          65    13 Jun 2027 04:37:14.216    13 Jun 2027 04:37:21.544             7.328
Max Duration          32     7 Jun 2027 03:18:02.922     7 Jun 2027 03:25:32.556           449.634
Mean Duration                                                                              228.307
Total Duration                                                                           15524.907


Russia-To-KinoSat_110208
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 03:32:21.437     1 Jun 2027 03:39:46.730           445.293
                       2     1 Jun 2027 05:09:06.656     1 Jun 2027 05:15:09.863           363.207
                       3     1 Jun 2027 05:15:17.565     1 Jun 2027 05:15:47.972            30.407
                       4     1 Jun 2027 06:47:11.416     1 Jun 2027 06:51:20.472           249.056
                       5     1 Jun 2027 08:20:57.610     1 Jun 2027 08:27:46.537           408.927
                       6     2 Jun 2027 03:44:21.533     2 Jun 2027 03:51:48.278           446.745
                       7     2 Jun 2027 05:21:14.910     2 Jun 2027 05:26:22.737           307.828
                       8     2 Jun 2027 05:26:33.981     2 Jun 2027 05:27:42.570            68.589
                       9     2 Jun 2027 06:58:24.514     2 Jun 2027 07:03:18.741           294.228
                      10     2 Jun 2027 08:33:12.118     2 Jun 2027 08:34:23.596            71.478
                      11     2 Jun 2027 08:35:06.638     2 Jun 2027 08:38:28.543           201.905
                      12     3 Jun 2027 03:56:44.199     3 Jun 2027 04:03:33.313           409.114
                      13     3 Jun 2027 05:33:43.079     3 Jun 2027 05:38:13.023           269.945
                      14     3 Jun 2027 05:38:18.665     3 Jun 2027 05:39:34.751            76.086
                      15     3 Jun 2027 07:10:37.120     3 Jun 2027 07:15:13.626           276.506
